target_id,length_bin,Psi1536,Psi3072,K
5wcx_A,320-384,-0.03046054629018919,0.017161866474030826,0.047622412764220017
6zxv_A,320-384,0.031299697837150114,0.004346904156064448,-0.02695279368108567
4p7o_A,320-384,0.026495590454631235,0.020709535936615692,-0.005786054518015542
1yt3_A,320-384,-0.010830869672333092,0.017187115052968733,0.028017984725301828
6lv0_A,320-384,-0.01007206994328923,-2.2973114891855495e-05,0.010049096828397374
6k11_A,320-384,0.051518196025898605,0.021768251841928987,-0.02974994418396962
1si7_A,320-384,0.04636781697537989,0.041573796531140364,-0.004794020444239526
2nun_A,320-384,0.057365859449192785,0.0072597637701804,-0.050106095679012384
6y9u_A,320-384,0.04033040903740914,-0.010144030674772209,-0.05047443971218135
3p6a_A,320-384,0.007763389489564997,-0.008954264800379912,-0.01671765428994491
1tlo_A,320-384,0.034053534053534014,0.024271024271024195,-0.009782509782509817
3pt5_A,320-384,0.02722210142301466,0.0036451160880384137,-0.023576985334976246
6p80_A,320-384,0.06528562460765855,0.05869428750784686,-0.006591337099811683
5lm9_A,320-384,-0.0013399223090917827,0.010600547442264538,0.01194046975135632
4ifz_A,320-384,0.015605672239437799,0.021863881556295175,0.006258209316857376
5ljw_A,320-384,-0.040955116096783706,0.0134439690065919,0.054399085103375606
3v0i_A,320-384,-0.008325974981604109,-0.005187637969094962,0.0031383370125091454
4g55_A,320-384,0.025199766695829684,-0.011332750072907497,-0.03653251676873718
3r5e_A,320-384,-0.0023624862486248707,0.019323432343234352,0.021685918591859223
5vkj_A,320-384,0.019296164491894047,0.00821668643732703,-0.011079478054567018
2i3g_A,320-384,0.029700548387830785,0.02951566659840262,-0.00018488178942816576
5lte_A,320-384,-0.017477282114828557,-0.010765179677819068,0.006712102437009488
2q0g_A,320-384,0.12153291673518611,0.07512813133804744,-0.04640478539713869
