target_id,length_bin,psi,factor_rotation,gplus_rotation
4k48_A,192-255,0.15244007269869342,0.08944886531093428,-0.06299120738775914
4bg0_A,192-255,-0.08228651839648546,-0.09909848068826654,-0.01681196229178107
6h1x_A,192-255,-0.022573795600111395,-0.014956372412512773,0.0076174231875986214
3psn_A,192-255,0.038446323493052464,0.01908099688473519,-0.01936532660831727
4dix_A,192-255,-0.014450989085228079,-0.020404501023919566,-0.005953511938691486
2afr_A,192-255,0.006609471242300639,-0.01191904647628191,-0.01852851771858255
4mln_A,192-255,0.04116635972989564,-0.003959484346224679,-0.04512584407612032
3l1b_A,192-255,0.011949685534591217,0.005875537901357173,-0.006074147633234044
5je2_A,192-255,0.013347647164072255,0.009916800858829832,-0.0034308463052424238
1qua_A,192-255,0.06232511512106988,0.0688578227245687,0.006532707603498827
1svi_A,192-255,0.044993402544377226,0.017134712574999385,-0.02785868996937784
2f8y_A,192-255,0.014162995151588328,0.005416742108757335,-0.008746253042830991
3lhs_A,256-319,0.009434030963720308,-0.0057820305559196745,-0.015216061519639982
4utp_A,256-319,0.011469267618747336,0.014322506044360361,0.002853238425613025
5ep2_A,256-319,-0.00944983638256732,0.01772367246764835,0.02717350885021567
3o01_A,256-319,-0.015206274917663366,0.001703068122724928,0.016909343040388294
1l8t_A,256-319,0.0005121716076163457,0.010303687635574864,0.009791516027958518
7e7v_A,256-319,-0.02044936527343815,-0.0006792555359326461,0.019770109737505506
3gld_A,256-319,0.053175564301813166,0.031103878628855934,-0.02207168567295723
2jhn_A,256-319,0.059522750192798256,0.02070356528445156,-0.038819184908346696
4dw8_A,256-319,0.002507476420519924,-0.0028410397975615373,-0.005348516218081461
4xkz_A,256-319,0.04849616377788926,0.016083337977670056,-0.0324128258002192
2g71_A,256-319,0.025416136181449493,0.029781833042548826,0.004365696861099333
1p9p_A,256-319,0.014915495825697388,0.023066132717934784,0.008150636892237396
4cc6_A,256-319,0.09275437910201241,0.07456426305037595,-0.01819011605163645
1wl7_A,256-319,0.00896301338779214,0.010939036381514253,0.001976022993722114
6an3_A,256-319,0.0016614679930309073,0.004808773113021945,0.003147305119991037
5y0z_A,256-319,0.07828176606219227,0.09302751293076586,0.014745746868573587
4eu0_A,256-319,0.010930320685898338,0.013519807998989442,0.002589487313091104
3w68_A,256-319,0.10484125657173642,0.02683962176521948,-0.07800163480651692
1t71_A,256-319,-0.001264597063244271,0.014358596369522489,0.015623193432766759
5mfp_A,256-319,0.03901707640891819,0.04613224679149689,0.007115170382578707
2ae1_A,256-319,0.05452156145467725,0.05227643482129617,-0.0022451266333810807
4qpc_A,256-319,-0.004371974593581272,0.0015634181146646374,0.005935392708245908
4uhf_A,256-319,0.004948425855082323,0.006255490379438338,0.0013070645243560151
3r8q_A,256-319,0.004856352257321666,0.006982747413969228,0.0021263951566475622
